Site,"New Castle, Virginia"
Contest,"Region 4 South, 2017"
"Courtesy of","John Godrey (QT)",JohnGQT2
Dated,"22 July 2017"
"Magnetic Variation",8.3W
"Time Zone Name","US/Eastern"
Datum,100
"File created on Saturday, 22 July 2017 at 23:08 GMT"
"The primary specification of the waypoint coordinates is","degrees, minutes, and seconds"
"UNOFFICIAL, USE AT YOUR OWN RISK"

"Do not use for navigation, for flight verification only."

"Always consult the relevant publications for current and correct"
"information. This service is provided free of charge with no warrantees,"
"expressed or implied."
"User assumes all risk of use."


Number,Name,"North/South","Latitude [degrees]","Latitude [minutes]","Latitude [seconds]","Latitude [decimal minutes]","Latitude [decimal degrees]","East/West","Longitude [degrees]","Longitude [minutes]","Longitude [seconds]","Longitude [decimal minutes]","Longitude [decimal degrees]","Elevation [Feet]","Control P",Turnpoint,ID[3],ID[5],ID[6],ID[10],ID[12],State,"ICAO Identifier",
99,"Finish Cylinder",N,37,28,46,28.76667,37.4794444,W,80,6,8,6.13333,-80.1022222,1320,FAP,,FNS,FnCln,FnClnd,FinishCyl,FinishCylin,Virginia,VA85,
98,"Finish Gate",N,37,28,45,28.75,37.4791667,W,80,6,22,6.36667,-80.1061111,1320,FAP,"18/36 Finish",FIN,FinGt,FinGat,FinishGat,"Finish Gate",Virginia,VA85,
97,"Start NCI",N,37,28,46,28.76667,37.4794444,W,80,6,8,6.13333,-80.1022222,1320,SPA,Airstrip,STR,"Str N","Strt N","Start NCI","Start NCI",Virginia,VA85,
1,"Alt Start A",N,37,31,50,31.83333,37.5305556,W,80,2,16,2.26667,-80.0377778,1320,S,"5 NE of NCI",ALT,"Str A","Strt A","Start A","Alt Start A",,,
2,"Alt Start B",N,37,25,41,25.68333,37.4280556,W,80,9,59,9.98333,-80.1663889,1320,S,"5 SW of NCI",ALS,"Str B","Strt B","Start B","Alt Start B",,,
3,"Balcony Downs",N,37,38,50,38.83333,37.6472222,W,79,25,29,25.48333,-79.4247222,820,LT,Airstrip,BLC,BlcnD,BlcnDw,BalconDwns,BalconyDowns,,,
4,"Big Hill",N,37,43,52,43.86667,37.7311111,W,79,48,40,48.66667,-79.8111111,1620,TPA,Airstrip,BGH,BgHll,BigHll,"Big Hill","Big Hill",Virginia,44VA,
5,"Big Walker",N,37,2,33,2.55,37.0425,W,81,8,12,8.2,-81.1366667,2950,T,"I-77 Tunnel",BGW,BgWlk,BgWlkr,"Big Walker","Big Walker",,,
6,Blacksburg,N,37,12,28,12.46667,37.2077778,W,80,24,30,24.5,-80.4083333,2132,TA,"12/30 123.05",BLA,Blcks,Blcksb,Blacksburg,Blacksburg,Virginia,BCB,
7,Buchanan,N,37,31,28,31.46667,37.5244444,W,79,42,25,42.41667,-79.7069444,830,T,"I-81 Bridge",BCH,Bchnn,Buchnn,Buchanan,Buchanan,,,
8,"Catawba Valley",N,37,17,3,17.05,37.2841667,W,80,18,3,18.05,-80.3008333,1850,TPA,Airstrip,CTW,CtwbV,CtwbVl,CatawbaVll,CatawbaValle,Virginia,VA10,
9,Covington,N,37,45,34,45.56667,37.7594444,W,80,0,4,0.06667,-80.0011111,1250,T,Factory,CVN,Cvngt,Cvngtn,Covington,Covington,,,
10,Craigsville,N,38,4,43,4.71667,38.0786111,W,79,22,59,22.98333,-79.3830556,1550,T,"Town Center",CRG,Crgsv,Crgsvl,Craigsvill,Craigsville,,,
11,"Eagle Rock",N,37,39,52,39.86667,37.6644444,W,79,48,35,48.58333,-79.8097222,1200,TPA,"07/25 27A",EGL,EglRc,EglRck,"Eagle Rock","Eagle Rock",Virginia,79VG,
12,"East River",N,37,16,52,16.86667,37.2811111,W,81,7,29,7.48333,-81.1247222,2725,T,"I-77 Tunnel",ERV,ERivr,ERiver,"East River","East River",,,
13,"Gap Mills",N,37,33,44,33.73333,37.5622222,W,80,24,29,24.48333,-80.4080556,2360,T,"Town Center",GPM,GpMll,GpMlls,"Gap Mills","Gap Mills",,,
14,Hillsville,N,36,45,58,45.96667,36.7661111,W,80,49,25,49.41667,-80.8236111,2693,TA,"16/34 122.80",HLL,Hllsv,Hllsvl,Hillsville,Hillsville,Virginia,HLX,
